player_id,t_fn,b_fn,similarity,t_frame,t_index,b_frame,b_index
140,39_7.jpg,38_1.jpg,0.9299674,39,7,38,1
106,24_7.jpg,30_3.jpg,0.9299307,24,7,30,3
128,65_6.jpg,61_0.jpg,0.9298636,65,6,61,0
284,45_18.jpg,97_2.jpg,0.92985946,45,18,97,2
434,43_12.jpg,30_8.jpg,0.92983735,43,12,30,8
68,2_12.jpg,42_8.jpg,0.92983353,2,12,42,8
35,27_17.jpg,25_9.jpg,0.92979753,27,17,25,9
47,86_3.jpg,43_0.jpg,0.92977387,86,3,43,0
57,43_8.jpg,11_7.jpg,0.92966557,43,8,11,7
10,17_12.jpg,88_0.jpg,0.92960465,17,12,88,0
481,51_19.jpg,79_3.jpg,0.929572,51,19,79,3
194,15_7.jpg,16_11.jpg,0.9295676,15,7,16,11
423,20_0.jpg,67_6.jpg,0.9295571,20,0,67,6
189,47_1.jpg,22_4.jpg,0.929544,47,1,22,4
440,47_2.jpg,69_3.jpg,0.92951334,47,2,69,3
397,189_13.jpg,94_8.jpg,0.92947555,189,13,94,8
19,148_1.jpg,7_1.jpg,0.9294435,148,1,7,1
35,99_8.jpg,25_9.jpg,0.929439,99,8,25,9
320,24_1.jpg,57_3.jpg,0.9294345,24,1,57,3
19,44_3.jpg,7_1.jpg,0.9294212,44,3,7,1
66,23_11.jpg,67_11.jpg,0.92940295,23,11,67,11
489,55_5.jpg,89_4.jpg,0.92940223,55,5,89,4
209,186_14.jpg,84_5.jpg,0.9293587,186,14,84,5
243,70_11.jpg,25_6.jpg,0.92932093,70,11,25,6
8,24_17.jpg,12_2.jpg,0.92929745,24,17,12,2
233,42_0.jpg,35_3.jpg,0.92924714,42,0,35,3
34,13_3.jpg,98_1.jpg,0.9291903,13,3,98,1
6,24_15.jpg,33_4.jpg,0.9291617,24,15,33,4
19,20_10.jpg,7_1.jpg,0.92911637,20,10,7,1
144,195_11.jpg,102_5.jpg,0.9291101,195,11,102,5
35,181_2.jpg,25_9.jpg,0.9291017,181,2,25,9
140,8_3.jpg,38_1.jpg,0.92906666,8,3,38,1
286,75_16.jpg,47_7.jpg,0.92903644,75,16,47,7
25,183_19.jpg,107_4.jpg,0.92894256,183,19,107,4
100,52_1.jpg,77_4.jpg,0.928916,52,1,77,4
35,166_11.jpg,25_9.jpg,0.9289006,166,11,25,9
18,16_7.jpg,44_3.jpg,0.9288459,16,7,44,3
92,78_8.jpg,80_2.jpg,0.92883193,78,8,80,2
276,58_8.jpg,6_4.jpg,0.9288119,58,8,6,4
62,12_1.jpg,13_1.jpg,0.92880523,12,1,13,1
65,127_1.jpg,97_0.jpg,0.9287716,127,1,97,0
355,16_13.jpg,5_5.jpg,0.92866576,16,13,5,5
8,65_4.jpg,12_2.jpg,0.9286292,65,4,12,2
167,26_8.jpg,29_2.jpg,0.9285759,26,8,29,2
57,189_10.jpg,11_7.jpg,0.9285646,189,10,11,7
184,3_8.jpg,57_4.jpg,0.92852736,3,8,57,4
234,182_8.jpg,84_3.jpg,0.9284827,182,8,84,3
61,66_20.jpg,41_7.jpg,0.92847896,66,20,41,7
35,167_3.jpg,25_9.jpg,0.9284742,167,3,25,9
11,100_6.jpg,78_6.jpg,0.92845345,100,6,78,6
91,87_18.jpg,28_1.jpg,0.9284267,87,18,28,1
301,49_6.jpg,39_4.jpg,0.9284262,49,6,39,4
6,108_7.jpg,33_4.jpg,0.9284046,108,7,33,4
91,61_15.jpg,28_1.jpg,0.92837787,61,15,28,1
24,14_0.jpg,89_0.jpg,0.92836815,14,0,89,0
24,10_8.jpg,89_0.jpg,0.9283285,10,8,89,0
39,54_19.jpg,8_5.jpg,0.9283228,54,19,8,5
75,4_4.jpg,7_7.jpg,0.9283098,4,4,7,7
21,56_20.jpg,103_3.jpg,0.9282876,56,20,103,3
374,17_18.jpg,22_6.jpg,0.9282212,17,18,22,6
77,158_22.jpg,96_7.jpg,0.92819405,158,22,96,7
91,16_11.jpg,28_1.jpg,0.9281908,16,11,28,1
57,102_18.jpg,11_7.jpg,0.9281708,102,18,11,7
122,69_12.jpg,11_9.jpg,0.9281667,69,12,11,9
128,19_6.jpg,61_0.jpg,0.92815876,19,6,61,0
19,147_1.jpg,7_1.jpg,0.92810863,147,1,7,1
29,84_1.jpg,77_7.jpg,0.928092,84,1,77,7
19,94_0.jpg,7_1.jpg,0.9280903,94,0,7,1
380,74_21.jpg,15_8.jpg,0.9280379,74,21,15,8
284,14_17.jpg,97_2.jpg,0.9280029,14,17,97,2
19,95_0.jpg,7_1.jpg,0.92800003,95,0,7,1
48,148_25.jpg,78_11.jpg,0.9279937,148,25,78,11
108,139_12.jpg,36_8.jpg,0.92775434,139,12,36,8
167,8_2.jpg,29_2.jpg,0.92773914,8,2,29,2
487,54_5.jpg,93_2.jpg,0.9277325,54,5,93,2
84,162_14.jpg,117_5.jpg,0.92768097,162,14,117,5
301,1_1.jpg,39_4.jpg,0.9276788,1,1,39,4
41,25_3.jpg,35_5.jpg,0.9276678,25,3,35,5
271,138_2.jpg,64_0.jpg,0.9276589,138,2,64,0
84,173_8.jpg,117_5.jpg,0.9275301,173,8,117,5
49,108_2.jpg,51_6.jpg,0.927438,108,2,51,6
461,7_8.jpg,42_6.jpg,0.9274252,7,8,42,6
91,50_8.jpg,28_1.jpg,0.9274242,50,8,28,1
62,45_4.jpg,13_1.jpg,0.927392,45,4,13,1
22,48_7.jpg,18_8.jpg,0.9273602,48,7,18,8
112,10_9.jpg,27_3.jpg,0.92728806,10,9,27,3
100,10_2.jpg,77_4.jpg,0.9272803,10,2,77,4
140,33_4.jpg,38_1.jpg,0.92726564,33,4,38,1
24,66_4.jpg,89_0.jpg,0.92725146,66,4,89,0
49,4_22.jpg,51_6.jpg,0.9271697,4,22,51,6
4,19_12.jpg,9_6.jpg,0.92710626,19,12,9,6
539,98_18.jpg,38_11.jpg,0.92707354,98,18,38,11
246,12_4.jpg,40_3.jpg,0.9270655,12,4,40,3
194,79_15.jpg,16_11.jpg,0.92705536,79,15,16,11
432,3_7.jpg,37_2.jpg,0.92704237,3,7,37,2
108,50_10.jpg,36_8.jpg,0.9269475,50,10,36,8
6,44_12.jpg,33_4.jpg,0.9269436,44,12,33,4
118,147_7.jpg,72_13.jpg,0.92693615,147,7,72,13
227,148_24.jpg,71_7.jpg,0.9269183,148,24,71,7
71,198_6.jpg,69_5.jpg,0.9268848,198,6,69,5
94,183_1.jpg,70_5.jpg,0.92683476,183,1,70,5
19,57_0.jpg,7_1.jpg,0.9268327,57,0,7,1
68,94_9.jpg,42_8.jpg,0.926782,94,9,42,8
6,16_20.jpg,33_4.jpg,0.9267571,16,20,33,4
47,123_1.jpg,43_0.jpg,0.926747,123,1,43,0
162,46_14.jpg,71_6.jpg,0.9267371,46,14,71,6
52,141_9.jpg,82_10.jpg,0.92672336,141,9,82,10
100,12_8.jpg,77_4.jpg,0.9267141,12,8,77,4
19,32_2.jpg,7_1.jpg,0.92670906,32,2,7,1
57,152_7.jpg,11_7.jpg,0.92669964,152,7,11,7
4,81_19.jpg,9_6.jpg,0.9266807,81,19,9,6
77,176_16.jpg,96_7.jpg,0.92663705,176,16,96,7
122,20_11.jpg,11_9.jpg,0.92659974,20,11,11,9
7,30_9.jpg,26_8.jpg,0.9265803,30,9,26,8
19,20_2.jpg,7_1.jpg,0.9265677,20,2,7,1
18,6_4.jpg,44_3.jpg,0.9265348,6,4,44,3
185,200_10.jpg,37_12.jpg,0.9265227,200,10,37,12
120,10_1.jpg,36_4.jpg,0.9264833,10,1,36,4
11,22_2.jpg,78_6.jpg,0.92644405,22,2,78,6
6,98_1.jpg,33_4.jpg,0.92643577,98,1,33,4
7,0_14.jpg,26_8.jpg,0.9263895,0,14,26,8
195,77_0.jpg,45_3.jpg,0.9263758,77,0,45,3
7,14_12.jpg,26_8.jpg,0.92637205,14,12,26,8
35,132_17.jpg,25_9.jpg,0.92632806,132,17,25,9
430,3_9.jpg,58_2.jpg,0.9263255,3,9,58,2
182,39_16.jpg,5_2.jpg,0.9263019,39,16,5,2
39,67_15.jpg,8_5.jpg,0.92628616,67,15,8,5
159,53_18.jpg,64_6.jpg,0.9262848,53,18,64,6
19,91_0.jpg,7_1.jpg,0.92626613,91,0,7,1
94,198_7.jpg,70_5.jpg,0.9262568,198,7,70,5
305,151_1.jpg,78_1.jpg,0.9262444,151,1,78,1
50,5_0.jpg,91_1.jpg,0.9262314,5,0,91,1
459,52_9.jpg,103_0.jpg,0.9262078,52,9,103,0
451,35_0.jpg,53_0.jpg,0.92619634,35,0,53,0
25,72_14.jpg,107_4.jpg,0.9261857,72,14,107,4
167,19_0.jpg,29_2.jpg,0.92617804,19,0,29,2
108,62_5.jpg,36_8.jpg,0.9261747,62,5,36,8
35,143_13.jpg,25_9.jpg,0.92614615,143,13,25,9
107,91_9.jpg,7_6.jpg,0.9261405,91,9,7,6
479,4_3.jpg,41_2.jpg,0.92613935,4,3,41,2
108,154_9.jpg,36_8.jpg,0.9261017,154,9,36,8
457,42_21.jpg,75_13.jpg,0.9260187,42,21,75,13
108,70_12.jpg,36_8.jpg,0.926005,70,12,36,8
131,164_8.jpg,94_6.jpg,0.9259963,164,8,94,6
276,57_3.jpg,6_4.jpg,0.9259792,57,3,6,4
451,50_7.jpg,53_0.jpg,0.92588544,50,7,53,0
35,179_18.jpg,25_9.jpg,0.92587996,179,18,25,9
520,80_12.jpg,40_9.jpg,0.9258459,80,12,40,9
